	RS.v 	RS.u	RS.I	CH.v	CH.u	CH.I	IB.v	IB.u	IB.I	FS.v	FS.u	FS.I	LTS.v	LTS.u	LTS.I
1065	-74.5276	-13.6718	-7.37004	-74.0785	-13.9252	-5.29894	-71.9847	-13.9595	-2.51651	-70.8666	-13.3069	0.210071	-94.4608	25.0501	-0.24728
1066	-70.4942	-13.6718	4.85853	-73.5925	-13.9252	-2.0656	-77.1834	-13.9595	-11.7053	-70.7944	-13.3069	0.287577	-94.5227	25.0501	0.316554
1067	-67.6078	-13.6804	5.79465	-71.4442	-13.9411	1.69962	-73.827	-13.989	0.379282	-73.0458	-13.2998	-4.3116	-94.8208	25.2875	-0.314297
1068	-66.8233	-13.6804	3.09515	-70.6793	-13.9411	0.638734	-74.494	-13.989	-4.20501	-72.316	-13.2998	-0.0388578	-95.0236	25.2875	-0.653538
1069	-69.4226	-13.674	-3.37666	-77.4822	-13.945	-13.973	-71.1758	-14.0072	3.14305	-71.4301	-13.322	0.867893	-93.8254	25.5267	1.62247
1070	-75.5226	-13.674	-11.5409	-72.6784	-13.945	2.93391	-72.3698	-14.0072	-3.15586	-71.1123	-13.322	0.373818	-93.9317	25.5267	2.31281
1071	-70.8804	-13.7026	5.07692	-68.5239	-13.9568	6.47013	-71.7729	-14.0165	-0.459919	-70.119	-13.3194	1.94771	-94.9309	25.7658	0.260202
1072	-70.4376	-13.7026	0.623736	-64.6699	-13.9568	8.5497	-65.9389	-14.0165	10.462	-71.5431	-13.3194	-2.2395	-93.3031	25.7658	3.2009
1073	-68.4576	-13.7103	3.98701	-62.963	-13.9364	5.51849	-66.6802	-14	0.277842	-71.9752	-13.3251	-1.20477	-95.1595	26.0052	0.34985
1074	-65.8802	-13.7103	6.27474	-66.5425	-13.9364	-4.85389	-60.5162	-14	13.8791	-70.1857	-13.3251	2.91284	-93.6119	26.0052	2.68471
1075	-67.4391	-13.6997	-1.03517	-69.6394	-13.9238	-4.5337	-57.9879	-13.962	7.14914	-69.9918	-13.3049	0.949884	-94.1467	26.2462	2.46755
1076	-66.5485	-13.6997	3.35584	-69.6762	-13.9238	0.213678	-57.8862	-13.962	1.67706	-69.0696	-13.3049	2.54436	-94.043	26.2462	2.64316
1077	-69.947	-13.6919	-4.90232	-68.178	-13.924	3.26261	-58.2506	-13.9143	0.707834	-67.76	-13.2658	3.83794	-94.203	26.4889	2.37789
1078	-75.0568	-13.6919	-9.87985	-65.4363	-13.924	6.5199	-58.9558	-13.9143	0.202867	-68.0899	-13.2658	1.2178	-95.8713	26.4889	-0.800885
1079	-71.4423	-13.7183	3.48015	-63.3132	-13.9073	6.22729	-58.5169	-13.8719	2.71101	-68.5944	-13.2123	0.725314	-93.8297	26.735	2.2763
1080	-69.4723	-13.7183	3.27332	-63.0652	-13.9073	2.8122	-55.7729	-13.8719	7.23153	-69.7517	-13.2123	-0.762555	-94.9046	26.735	1.57322
